id,Country,Year,GDP,Total_population,Total_number_of_internet_users
15150,15139,16,18898.42789,,
15151,15139,17,19424.95332,,
15152,15139,18,18861.59023,,
15153,15139,19,19903.88922,,
15154,15139,20,22257.62821,,
15155,15139,21,23359.95826,,
15156,15139,22,23754.90841,,
15157,15139,23,25570.31248,,
15158,15139,24,24685.25821,,
15159,15139,25,24033.32038,,
15160,15139,26,24766.19605,,
15161,15139,27,24461.13248,,
15162,15139,28,25999.0328,,
15163,15139,29,27910.15016,,
15164,15139,30,28261.41206,,
15165,15139,31,29137.82185,,
15166,15139,32,28869.68919,,
15167,15139,33,30207.79021,,
15168,15168,5,8273.406045,,
15169,15168,6,9345.822855,,
15170,15168,7,10044.19063,,
15171,15168,8,10875.12437,,
15172,15168,9,12008.47377,,
15173,15168,10,13299.16144,,
15174,15168,11,14433.0009,,
15175,15168,12,15406.22038,,
15176,15168,13,14621.29968,,
15177,15168,14,16392.80863,,
15178,15168,15,18082.9548,,
15179,15168,16,19168.21512,,
15180,15168,17,20775.10514,,
15181,15168,18,21376.76617,,
15182,15168,19,22936.81163,,
15183,15168,20,24196.42385,,
15184,15168,21,25820.97163,,
15185,15168,22,27822.27653,,
15186,15168,23,28655.98352,,
15187,15168,24,28325.2093,,
15188,15168,25,30365.27837,,
15189,15168,26,31228.5107,,
15190,15168,27,32097.164,,
15191,15168,28,32615.77259,,
15192,15168,29,33587.5834,,
15193,15168,30,35760.73444,,
15194,15168,31,37142.8329,,
15195,15168,32,38824.11539,,
15196,15168,33,40111.77576,,
15197,15197,5,,2284399.64,0.0
15198,15197,6,,2284399.64,
15199,15197,7,,2284399.64,
15200,15197,8,,1273600.0,1619.0
15201,15197,8,,1273600.0,1619.0
15202,15197,8,,1273600.0,1619.0
15203,15197,8,,1273600.0,1619.0
15204,15197,8,,1273600.0,1619.0
15205,15197,8,,1273600.0,1619.0
15206,15197,8,,1273600.0,1619.0
15207,15197,8,,1273600.0,1619.0
15208,15197,8,,1273600.0,1619.0
15209,15197,8,,1273600.0,1619.0
15210,15197,8,,1273600.0,1619.0
15211,15197,8,,1273600.0,1619.0
15212,15197,9,,1448000.0,2449.0
15213,15197,9,,1448000.0,2449.0
15214,15197,9,,1448000.0,2449.0
15215,15197,9,,1448000.0,2449.0
15216,15197,9,,1448000.0,2449.0
15217,15197,9,,1448000.0,2449.0
15218,15197,9,,1448000.0,2449.0
15219,15197,9,,1448000.0,2449.0
15220,15197,9,,1448000.0,2449.0
15221,15197,9,,1448000.0,2449.0
15222,15197,9,,1448000.0,2449.0
15223,15197,9,,1448000.0,2449.0
15224,15197,10,59810.88601,1511100.0,3268.0
15225,15197,10,59810.88601,1511100.0,3268.0
15226,15197,10,59810.88601,1511100.0,3268.0
15227,15197,10,59810.88601,1511100.0,3268.0
15228,15197,10,59810.88601,1511100.0,3268.0
15229,15197,10,59810.88601,1511100.0,3268.0
15230,15197,10,59810.88601,1511100.0,3268.0
15231,15197,10,59810.88601,1511100.0,3268.0
15232,15197,10,59810.88601,1511100.0,3268.0
15233,15197,10,59810.88601,1511100.0,3268.0
15234,15197,10,59810.88601,1511100.0,3268.0
15235,15197,10,59810.88601,1511100.0,3268.0
15236,15197,11,60485.3054,1568700.0,13962.0
15237,15197,11,60485.3054,1568700.0,13962.0
15238,15197,11,60485.3054,1568700.0,13962.0
15239,15197,11,60485.3054,1568700.0,13962.0
15240,15197,11,60485.3054,1568700.0,13962.0
15241,15197,11,60485.3054,1568700.0,13962.0
15242,15197,11,60485.3054,1568700.0,13962.0
15243,15197,11,60485.3054,1568700.0,13962.0
15244,15197,11,60485.3054,1568700.0,13962.0
15245,15197,11,60485.3054,1568700.0,13962.0
15246,15197,11,60485.3054,1568700.0,13962.0
15247,15197,11,60485.3054,1568700.0,13962.0
15248,15197,12,59975.52572,1617500.0,37300.0
15249,15197,12,59975.52572,1617500.0,37300.0
15250,15197,12,59975.52572,1617500.0,37300.0
15251,15197,12,59975.52572,1617500.0,37300.0
15252,15197,12,59975.52572,1617500.0,37300.0
15253,15197,12,59975.52572,1617500.0,37300.0
15254,15197,12,59975.52572,1617500.0,37300.0
15255,15197,12,59975.52572,1617500.0,37300.0
15256,15197,12,59975.52572,1617500.0,37300.0
15257,15197,12,59975.52572,1617500.0,37300.0
15258,15197,12,59975.52572,1617500.0,37300.0
15259,15197,12,59975.52572,1617500.0,37300.0
15260,15197,13,58721.77862,1825766.0,56053.0
15261,15197,13,58721.77862,1825766.0,56053.0
15262,15197,13,58721.77862,1825766.0,56053.0
15263,15197,13,58721.77862,1825766.0,56053.0
15264,15197,13,58721.77862,1825766.0,56053.0
15265,15197,13,58721.77862,1825766.0,56053.0
15266,15197,13,58721.77862,1825766.0,56053.0
15267,15197,13,58721.77862,1825766.0,56053.0
15268,15197,13,58721.77862,1825766.0,56053.0
15269,15197,13,58721.77862,1825766.0,56053.0
15270,15197,13,58721.77862,1825766.0,56053.0
15271,15197,13,58721.77862,1825766.0,56053.0
15272,15197,14,54891.17974,1898700.0,93082.0
15273,15197,14,54891.17974,1898700.0,93082.0
15274,15197,14,54891.17974,1898700.0,93082.0
15275,15197,14,54891.17974,1898700.0,93082.0
15276,15197,14,54891.17974,1898700.0,93082.0
15277,15197,14,54891.17974,1898700.0,93082.0
15278,15197,14,54891.17974,1898700.0,93082.0
15279,15197,14,54891.17974,1898700.0,93082.0
15280,15197,14,54891.17974,1898700.0,93082.0
15281,15197,14,54891.17974,1898700.0,93082.0
15282,15197,14,54891.17974,1898700.0,93082.0
15283,15197,14,54891.17974,1898700.0,93082.0
15284,15197,15,56067.05908,1973153.0,138043.0
15285,15197,15,56067.05908,1973153.0,138043.0
15286,15197,15,56067.05908,1973153.0,138043.0
15287,15197,15,56067.05908,1973153.0,138043.0
15288,15197,15,56067.05908,1973153.0,138043.0
15289,15197,15,56067.05908,1973153.0,138043.0
15290,15197,15,56067.05908,1973153.0,138043.0
15291,15197,15,56067.05908,1973153.0,138043.0
15292,15197,15,56067.05908,1973153.0,138043.0
15293,15197,15,56067.05908,1973153.0,138043.0
15294,15197,15,56067.05908,1973153.0,138043.0
15295,15197,15,56067.05908,1973153.0,138043.0
15296,15197,16,55831.35461,2038530.0,180388.0
15297,15197,16,55831.35461,2038530.0,180388.0
15298,15197,16,55831.35461,2038530.0,180388.0
15299,15197,16,55831.35461,2038530.0,180388.0
15300,15197,16,55831.35461,2038530.0,180388.0
15301,15197,16,55831.35461,2038530.0,180388.0
15302,15197,16,55831.35461,2038530.0,180388.0
15303,15197,16,55831.35461,2038530.0,180388.0
15304,15197,16,55831.35461,2038530.0,180388.0
15305,15197,16,55831.35461,2038530.0,180388.0
15306,15197,16,55831.35461,2038530.0,180388.0
15307,15197,16,55831.35461,2038530.0,180388.0
15308,15197,17,57502.26456,2158603.0,219721.0
15309,15197,17,57502.26456,2158603.0,219721.0
15310,15197,17,57502.26456,2158603.0,219721.0
15311,15197,17,57502.26456,2158603.0,219721.0
15312,15197,17,57502.26456,2158603.0,219721.0
15313,15197,17,57502.26456,2158603.0,219721.0
15314,15197,17,57502.26456,2158603.0,219721.0
15315,15197,17,57502.26456,2158603.0,219721.0
15316,15197,17,57502.26456,2158603.0,219721.0
15317,15197,17,57502.26456,2158603.0,219721.0
