id,Country,Year,GDP,Sex,Age_category,Suicides_number,Number_of_people,Generation,Total_population,Percentage_of_population,Total_number_of_internet_users,Number_of_internet_users
4686,4668,6,20160.72885,2.0,2.0,177.0,2446400.0,4.0,25390400.0,0.09635137689835528,159962.0,15412.558951414707
4687,4668,6,20160.72885,2.0,3.0,154.0,2263200.0,3.0,25390400.0,0.08913605142100951,159962.0,14258.381057407523
4688,4668,6,20160.72885,2.0,5.0,76.0,1886900.0,2.0,25390400.0,0.07431548931879765,159962.0,11887.65430241351
4689,4668,6,20160.72885,2.0,1.0,31.0,795900.0,1.0,25390400.0,0.03134649316277018,159962.0,5014.247739303044
4690,4668,6,20160.72885,1.0,6.0,20.0,1941100.0,5.0,25390400.0,0.07645015438906043,159962.0,12229.119596382885
4691,4668,6,20160.72885,2.0,6.0,9.0,1844900.0,5.0,25390400.0,0.07266132081416599,159962.0,11623.050200075619
4692,4668,7,20557.46336,1.0,2.0,739.0,2561600.0,4.0,26454400.0,0.09683077295270352,259995.0,25175.516813838152
4693,4668,7,20557.46336,1.0,1.0,136.0,499900.0,1.0,26454400.0,0.018896667473085764,259995.0,4913.039059664933
4694,4668,7,20557.46336,1.0,4.0,1020.0,3889500.0,4.0,26454400.0,0.14702658158945203,259995.0,38226.17608034958
4695,4668,7,20557.46336,1.0,5.0,504.0,2042300.0,2.0,26454400.0,0.07720076811418894,259995.0,20071.81370584855
4696,4668,7,20557.46336,1.0,3.0,497.0,2087600.0,3.0,26454400.0,0.07891314866336036,259995.0,20517.024086730376
4697,4668,7,20557.46336,2.0,4.0,323.0,3857500.0,4.0,26454400.0,0.14581695294544575,259995.0,37911.67868105117
4698,4668,7,20557.46336,2.0,3.0,146.0,2313800.0,3.0,26454400.0,0.08746371114067981,259995.0,22740.12757802105
4699,4668,7,20557.46336,2.0,2.0,155.0,2499900.0,4.0,26454400.0,0.0944984577234789,259995.0,24569.126515815897
4700,4668,7,20557.46336,2.0,5.0,119.0,1969200.0,2.0,26454400.0,0.07443752268053708,259995.0,19353.383709326237
4701,4668,7,20557.46336,2.0,1.0,35.0,834600.0,1.0,26454400.0,0.031548627071489053,259995.0,8202.485295451797
4702,4668,7,20557.46336,1.0,6.0,26.0,1995400.0,5.0,26454400.0,0.07542790613281722,259995.0,19610.878455001814
4703,4668,7,20557.46336,2.0,6.0,8.0,1903100.0,5.0,26454400.0,0.07193888351276158,259995.0,18703.750018900446
4704,4668,8,21367.20327,1.0,4.0,1141.0,4049700.0,4.0,26944700.0,0.15029671883524404,340102.0,51116.214669304165
4705,4668,8,21367.20327,1.0,2.0,721.0,2568700.0,4.0,26944700.0,0.09533229169372827,340102.0,32422.703069620373
4706,4668,8,21367.20327,1.0,1.0,138.0,513400.0,1.0,26944700.0,0.019053839901724642,340102.0,6480.249058256354
4707,4668,8,21367.20327,1.0,5.0,488.0,2054700.0,2.0,26944700.0,0.07625618396196654,340102.0,25934.880677832745
4708,4668,8,21367.20327,1.0,3.0,499.0,2127800.0,3.0,26944700.0,0.07896914792148363,340102.0,26857.565146392426
4709,4668,8,21367.20327,2.0,4.0,331.0,4013200.0,4.0,26944700.0,0.1489420925079886,340102.0,50655.50354615194
4710,4668,8,21367.20327,2.0,1.0,55.0,858000.0,1.0,26944700.0,0.03184299695301859,340102.0,10829.86694971553
4711,4668,8,21367.20327,2.0,3.0,146.0,2348500.0,3.0,26944700.0,0.0871599980701214,340102.0,29643.289663644427
4712,4668,8,21367.20327,2.0,2.0,146.0,2501800.0,4.0,26944700.0,0.09284942864459429,340102.0,31578.276380883806
4713,4668,8,21367.20327,2.0,5.0,93.0,1978900.0,2.0,26944700.0,0.07344301476728261,340102.0,24978.11620838235
