id,Country,Code
23987,Suriname,SUR
24269,Slovak Republic,
24298,Slovenia,SVN
24558,Sweden,SWE
24882,Eswatini,SWZ
24911,Sint Maarten (Dutch part),
24940,Seychelles,SYC
25134,Syrian Arab Republic,
25163,Turks and Caicos Islands,
25192,Chad,TCD
25221,East Asia & Pacific (IDA & IBRD countries),
25250,Europe & Central Asia (IDA & IBRD countries),
25279,Togo,TGO
25308,Thailand,THA
25610,Tajikistan,TJK
25639,Turkmenistan,TKM
25954,Latin America & the Caribbean (IDA & IBRD countries),
25983,Timor-Leste,
26012,Middle East & North Africa (IDA & IBRD countries),
26041,Tonga,TON
26070,South Asia (IDA & IBRD),
26099,Sub-Saharan Africa (IDA & IBRD countries),
26128,Trinidad and Tobago,TTO
26399,Tunisia,TUN
26428,Turkey,TUR
26534,Tuvalu,
26563,Tanzania,TZA
26592,Uganda,UGA
26621,Ukraine,UKR
26925,Upper middle income,
26954,Uruguay,URY
27236,United States,USA
27551,Uzbekistan,UZB
27822,St. Vincent and the Grenadines,
27851,"Venezuela, RB",
27880,British Virgin Islands,
27909,Virgin Islands (U.S.),
27938,Vietnam,VNM
27967,Vanuatu,VUT
27996,World,OWID_WRL
28025,Samoa,WSM
28054,Kosovo,
28083,"Yemen, Rep.",
28112,South Africa,ZAF
28361,Zambia,ZMB
28390,Zimbabwe,ZWE
28695,Bahamas,
29523,Cuba,
30543,Kyrgyzstan,KGZ
30915,Macau,
31503,Republic of Korea,
31899,Saint Kitts and Nevis,
31935,Saint Lucia,
32271,Saint Vincent and Grenadines,
32667,Slovakia,
